zipcode,state,description,viewport
11930,NY,Amagansett,41.06082:40.93333:-71.98519:-72.1905
11932,NY,Bridgehampton,40.9733:40.90951:-72.25447:-72.35712
11937,NY,East Hampton,41.15643:40.90158:-71.97035:-72.38096
11954,NY,Montauk,41.16934:40.91454:-71.75597:-72.16658
11962,NY,Sagaponack,40.96468:40.90088:-72.21867:-72.32132
11963,NY,Sag Harbor,41.05795:40.93046:-72.22209:-72.4274
11968,NY,Southsampton,41.03384:40.77852:-72.20676:-72.61737
11969,NY,Southsampton,40.89497:40.88699:-72.39235:-72.40518
11975,NY,Wainscott,40.95603:40.92413:-72.22304:-72.27437
11976,NY,Water Mill,40.99109:40.86346:-72.23337:-72.43868
