zipcode,state,description,viewport
7001,NJ,Avenel,40.6022501:40.5677839:-74.2441881:-74.294534
7002,NJ,Bayonne,40.6971391:40.6422759:-74.0683179:-74.1469609
7003,NJ,Bloomfield,40.848799:40.7678389:-74.162628:-74.21189
7004,NJ,Fairfield,40.909093:40.8446669:-74.253727:-74.3406171
7005,NJ,Boonton,40.9814359:40.873568:-74.3740298:-74.4785559
7006,NJ,Caldwell,40.8822988:40.8267983:-74.2421032:-74.3331557
7007,NJ,Caldwell,40.8413489802915:40.8386510197085:-74.2986510197085:-74.3013489802915
7008,NJ,Carteret,40.6027111:40.556996:-74.203688:-74.256858
7009,NJ,Cedar Grove,40.8807988:40.8333099:-74.204821:-74.251892
7010,NJ,Cliffside Park,40.8345199:40.806453:-73.9763821:-73.9980001
7011,NJ,Clifton,40.895339:40.8594018:-74.1181478:-74.1680701
7012,NJ,Clifton,40.8624049:40.831483:-74.140756:-74.1794029
7013,NJ,Clifton,40.901198:40.8469721:-74.143391:-74.197734
7014,NJ,Clifton,40.8449739:40.8199619:-74.121087:-74.158502
7015,NJ,Clifton,40.8708155802915:40.8681176197085:-74.1500225197085:-74.1527204802915
7016,NJ,Cranford,40.677841:40.6334588:-74.2806908:-74.3276931
7017,NJ,East Orange,40.788123:40.7556559:-74.1899889:-74.223559
7018,NJ,East Orange,40.7684778:40.7450491:-74.197289:-74.238349
7019,NJ,East Orange,40.7621627802915:40.7594648197085:-74.2079972197085:-74.2106951802915
7020,NJ,Edgewater,40.8481:40.7975169:-73.9539819:-73.9944119
7021,NJ,Essex Fells,40.8352771:40.813877:-74.25979:-74.299695
7022,NJ,Fairview,40.8267109:40.80847:-73.9907981:-74.0136248
7023,NJ,Fanwood,40.6533159:40.6304529:-74.3718279:-74.4017489
7024,NJ,Fort Lee,40.868767:40.8276:-73.948385:-73.991325
7026,NJ,Garfield,40.8936639:40.8614581:-74.0919129:-74.131447
7027,NJ,Garwood,40.6581538:40.6419889:-74.3122981:-74.3337589
7028,NJ,Glen Ridge,40.8290019:40.7855999:-74.1915981:-74.2187299
7029,NJ,Harrison,40.7542729:40.733501:-74.1367609:-74.166087
7030,NJ,Hoboken,40.759119:40.7303209:-74.015677:-74.044117
7031,NJ,North Arlington,40.805282:40.7701001:-74.1033859:-74.1475289
7032,NJ,Kearny,40.786614:40.7159629:-74.0737439:-74.165018
7033,NJ,Kenilworth,40.6918759:40.664791:-74.269352:-74.3159879
7034,NJ,Lake Hiawatha,40.89292:40.863608:-74.354787:-74.39653
7035,NJ,Lincoln Park,40.9530029:40.8913389:-74.265575:-74.341063
7036,NJ,Linden,40.654927:40.589707:-74.1994079:-74.2990471
7039,NJ,Livingston,40.818416:40.755736:-74.280592:-74.3776659
7040,NJ,Maplewood,40.746264:40.7132999:-74.243128:-74.2890919
7041,NJ,Millburn,40.752908:40.7121761:-74.285158:-74.3178959
7042,NJ,Montclair,40.836049:40.788323:-74.1951439:-74.2376399
7043,NJ,Montclair,40.865223:40.8278959:-74.1826891:-74.219574
7044,NJ,Verona,40.849829:40.8148629:-74.2209899:-74.2643049
7045,NJ,Montville,40.955394:40.8665389:-74.334222:-74.393762
7046,NJ,Mountain Lakes,40.907151:40.8770099:-74.4175619:-74.4658079
7047,NJ,North Bergen,40.8235689:40.75737:-73.9849229:-74.056895
7050,NJ,Orange,40.7897999:40.75199:-74.2184851:-74.2552731
7051,NJ,Orange,40.7713489802915:40.7686510197085:-74.2286510197085:-74.2313489802915
7052,NJ,West Orange,40.826557:40.748194:-74.22089:-74.3072079
7054,NJ,Parsippany,40.892651:40.824991:-74.338036:-74.468426
7055,NJ,Passaic,40.876812:40.8348869:-74.1060199:-74.1467039
7057,NJ,Wallington,40.8637809:40.8414779:-74.0963021:-74.1200691
7058,NJ,Pine Brook,40.8889129:40.8306958:-74.317394:-74.36287
7059,NJ,Warren,40.6733429:40.5873541:-74.4514:-74.5761349
7060,NJ,Plainfield,40.641576:40.5985129:-74.3898:-74.4648799
7061,NJ,Plainfield,40.6215920802915:40.6188941197085:-74.4186716197085:-74.4213695802915
7062,NJ,Plainfield,40.644185:40.6201159:-74.3827909:-74.422786
7063,NJ,Plainfield,40.618556:40.594805:-74.424699:-74.462913
7064,NJ,Port Reading,40.579726:40.558909:-74.2286013:-74.2697419
7065,NJ,Rahway,40.6275299:40.5914289:-74.2556079:-74.3053259
7066,NJ,Clark,40.6399509:40.604703:-74.2769179:-74.3478719
7067,NJ,Colonia,40.6089118:40.5698578:-74.290775:-74.338493
7068,NJ,Roseland,40.838299:40.8068279:-74.2768529:-74.3352351
7069,NJ,Watchung,40.668946:40.617768:-74.4018389:-74.4824321
7070,NJ,Rutherford,40.847945:40.805675:-74.0923349:-74.1248889
7071,NJ,Lyndhurst,40.822629:40.778867:-74.0809319:-74.139967
7072,NJ,Carlstadt,40.8504119:40.803644:-74.025016:-74.1027699
7073,NJ,East Rutherford,40.853228:40.7957889:-74.0651889:-74.1207868
7074,NJ,Moonachie,40.8478939:40.829673:-74.03901:-74.0787879
7075,NJ,Wood Ridge,40.865096:40.8375929:-74.0751219:-74.0989229
7076,NJ,Scotch Plains,40.6782339:40.600901:-74.3232729:-74.4082639
7077,NJ,Sewaren,40.568245:40.536874:-74.228589:-74.2717249
7078,NJ,Short Hills,40.761871:40.717075:-74.2917299:-74.3722168
7079,NJ,South Orange,40.7623139:40.7357839:-74.234841:-74.292445
7080,NJ,South Plainfield,40.601615:40.543835:-74.3861598:-74.4414399
7081,NJ,Springfield,40.719732:40.674774:-74.2991468:-74.36039
7082,NJ,Towaco,40.9584579:40.893881:-74.3212689:-74.3776929
7083,NJ,Union,40.7186279:40.670169:-74.2255569:-74.3122259
7086,NJ,Weehawken,40.780685:40.7493469:-74.0013271:-74.0326988
7087,NJ,Union City,40.782873:40.7484459:-74.0147979:-74.0458598
7088,NJ,Vauxhall,40.7222679:40.713646:-74.273626:-74.2986899
7090,NJ,Westfield,40.6821921:40.6244:-74.313192:-74.3789581
7091,NJ,Westfield,40.6522632802915:40.6495653197085:-74.3445918197085:-74.3472897802915
7092,NJ,Mountainside,40.699821:40.6642949:-74.3312979:-74.387621
7093,NJ,West New York,40.798891:40.774384:-73.991618:-74.023601
